bin_id,bin_center_um,bin_width_um,n_points,wavelength_angstrom,flux_ujy_weighted_mean,flux_ujy_weighted_sem,flux_flambda,flux_flambda_unc,ignored
39,1.821,0.046,2,18210.0,3681.3593734130836,52.54944689838273,3.3281970136583005e-25,4.75082420639752e-27,0
40,1.867,0.046,3,18670.0,3322.5330011770006,42.252023704681676,2.8575995598258194e-25,3.633955307516186e-27,0
41,1.913,0.046,2,19130.0,4374.685134896073,57.81319529202647,3.583748822789118e-25,4.7360658923033396e-27,0
42,1.959,0.046,3,19590.0,4187.616063275608,45.84822032450602,3.2712873028521093e-25,3.581577172779401e-27,0
43,2.005,0.046,2,20050.0,5846.270125569813,62.95583390518523,4.359842764849829e-25,4.694917119141106e-27,0
44,2.052,0.046,2,20520.0,7626.8621444235905,68.0344168220596,5.430150751760036e-25,4.843894286485537e-27,0
45,2.098,0.046,1,20980.0,8789.983570041104,101.20647413128212,5.9868420245034275e-25,6.893154778424068e-27,0
46,2.144,0.046,2,21440.0,8689.506047212872,72.34892552913973,5.667169871621539e-25,4.7184920382723194e-27,0
47,2.19,0.046,2,21900.0,7465.378085755738,69.2858494045493,4.666424899872914e-25,4.330888659037066e-27,0
48,2.236,0.046,2,22360.000000000004,5346.54878279516,59.08035168328704,3.2059049218413853e-25,3.5425841592442936e-27,0
49,2.282,0.046,2,22820.0,4355.659776564317,54.82702677403711,2.507514032826248e-25,3.1563424616805214e-27,0
50,2.329,0.046,2,23290.0,3498.460021111141,50.107928760579256,1.9335643990442918e-25,2.7694158737458285e-27,0
51,2.375,0.046,2,23750.0,3808.717128442841,57.69672748685084,2.0242875031801999e-25,3.0665119116834003e-27,0
52,2.423,0.082,2,24230.0,4015.62028016761,82.97103440692545,2.0505318224527953e-25,4.236823567046162e-27,0
53,2.505,0.082,4,25050.0,3471.3751267924686,33.715545167588004,1.6584668298551418e-25,1.6107770341315345e-27,0
54,2.588,0.082,2,25880.0,3292.632032691528,46.04348126574805,1.4737891600069061e-25,2.0609160970523148e-27,0
55,2.67,0.082,2,26700.0,3120.9031075434536,46.00290746853102,1.3124370012067648e-25,1.934565599901454e-27,0
56,2.752,0.082,2,27519.999999999996,3335.099362206632,48.233900130467816,1.3201783949281059e-25,1.909309017205176e-27,0
57,2.834,0.082,2,28340.0,3757.4662226002015,48.34125240419917,1.4025427136725312e-25,1.804425304517989e-27,0
58,2.917,0.082,2,29169.999999999996,4769.939105513614,52.297014558175135,1.6805857603175313e-25,1.8425731655986008e-27,0
59,2.999,0.082,2,29990.0,5788.807896974703,56.31485172387615,1.9295538752151094e-25,1.877114292093849e-27,0
60,3.081,0.082,2,30810.0,5956.073505724695,57.37174261357713,1.8810370734619285e-25,1.81190468387484e-27,0
61,3.164,0.082,2,31640.0,3731.1809050060474,47.63184458401077,1.1173624166652288e-25,1.4264125575687306e-27,0
62,3.246,0.082,2,32460.0,3402.7438723209693,45.88350978179946,9.681729230302897e-26,1.3055103014272179e-27,0
63,3.328,0.082,2,33280.0,3193.3033540768192,44.81025173378741,8.643591720836882e-26,1.2129180285997464e-27,0
64,3.411,0.082,2,34110.0,3946.9517275348267,47.99923218719361,1.0169956117493295e-25,1.2367774391860064e-27,0
65,3.493,0.082,2,34930.0,4580.666517535432,51.135480422608104,1.1255173834399383e-25,1.2564519138399137e-27,0
66,3.575,0.082,2,35750.0,6973.950495432856,65.07343744670835,1.6358650386785732e-25,1.5264140652478218e-27,0
67,3.657,0.082,1,36570.0,10224.34515303997,98.87003513444908,2.2919560434629618e-25,2.2163353364143813e-27,0
68,3.74,0.082,1,37400.0,10637.49826597107,100.44959516559022,2.279906311394524e-25,2.1529090794558902e-27,0
69,3.809,0.036,4,38090.0,13103.50722466814,69.61636830413278,2.7076112511737236e-25,1.4385008445011753e-27,0
70,3.845,0.036,2,38450.0,13417.529465451855,155.55584491923494,2.7208247677714555e-25,3.154382457051058e-27,0
71,3.881,0.036,2,38810.0,14307.187310637104,159.5006074818094,2.84765702007986e-25,3.1746493195408568e-27,0
72,3.917,0.036,2,39170.0,14894.962594172306,160.52554769152948,2.9104019770494154e-25,3.136589759219392e-27,0
73,3.953,0.036,2,39530.0,15152.378007117719,159.83754829909253,2.907019000769134e-25,3.0665205799614414e-27,0
74,3.989,0.036,2,39890.0,14967.187879896128,161.66128586249587,2.8198943710030047e-25,3.0457809020028382e-27,0
75,4.025,0.036,2,40250.0,15684.406154853776,169.69600676629503,2.9023983169994614e-25,3.1402234778752177e-27,0
76,4.061,0.036,2,40610.0,15821.17873386221,167.9969662456466,2.876030986142611e-25,3.053909500853515e-27,0
77,4.097,0.036,2,40970.00000000001,15557.385040340081,171.085366436632,2.778595803829375e-25,3.0556361499364486e-27,0
78,4.132,0.036,2,41320.0,14865.804550889903,166.04741993830095,2.610288414590343e-25,2.9156286499920254e-27,0
79,4.168,0.036,2,41680.0,14674.99685150815,174.14813730304363,2.5324641089453426e-25,3.005274289475023e-27,0
80,4.204,0.036,2,42040.0,11757.654711924868,151.80925466915608,1.994417105363859e-25,2.5750966641130085e-27,0
81,4.24,0.036,2,42400.0,8959.357590438283,138.34097106089408,1.494052506529487e-25,2.306958646118075e-27,0
82,4.276,0.036,2,42760.0,8660.8568246797,137.1083121260716,1.4200582820121638e-25,2.2480661914710423e-27,0
83,4.312,0.036,2,43120.0,8610.21634836416,138.460172311745,1.3882806250386565e-25,2.2324825159176086e-27,0
84,4.348,0.036,2,43480.0,7961.728533912746,146.5725636258769,1.2625511962856374e-25,2.324311420067461e-27,0
85,4.384,0.036,3,43840.0,7470.144429985101,129.99975600826428,1.1652218253629252e-25,2.0277861346917325e-27,0
86,4.412,0.035,3,44120.0,6391.491508206154,105.78539189632292,9.84355362698313e-26,1.6292037261505106e-27,0
87,4.447,0.035,2,44470.0,5829.8679196918065,137.35750259924433,8.837820154208373e-26,2.082278572217645e-27,0
88,4.481,0.035,2,44810.0,5237.5015191713865,132.9173510169511,7.819787961435246e-26,1.9845063481960692e-27,0
89,4.516,0.035,3,45160.0,4176.513867286275,100.94970764862465,6.13941179391314e-26,1.4839453319779152e-27,0
90,4.551,0.035,2,45510.0,3795.2196384771246,115.69675638901563,5.493434448012631e-26,1.6746660473273022e-27,0
91,4.586,0.035,2,45860.0,3984.6313616254824,121.42228721495378,5.679900802236762e-26,1.7308164393915162e-27,0
92,4.62,0.035,2,46200.0,4444.108491998815,129.61198897499284,6.24196608213395e-26,1.820463295341261e-27,0
93,4.655,0.035,2,46550.0,5615.31618217503,145.34378587331747,7.768828734571252e-26,2.0108413194404235e-27,0
94,4.69,0.035,2,46900.00000000001,4862.65324608414,137.43345469779453,6.627478366825225e-26,1.873128108859456e-27,0
95,4.724,0.035,2,47240.0,4237.212483915752,135.74470356412613,5.692213332702649e-26,1.8235757928226922e-27,0
96,4.759,0.035,2,47590.0,4171.467788515834,137.95624961618745,5.521768408488939e-26,1.826125717622539e-27,0
97,4.794,0.035,2,47939.99999999999,4537.480752468848,183.16137303995805,5.918878694627175e-26,2.3892331619809134e-27,0
98,4.828,0.035,2,48280.0,5087.666117697064,149.2630353991597,6.543419783500726e-26,1.9197224742773232e-27,0
99,4.863,0.035,2,48630.00000000001,5275.466196730919,150.51849971870874,6.687641873510939e-26,1.90810401188933e-27,0
100,4.898,0.035,2,48980.0,5064.624941235952,156.7663832869563,6.328932017906958e-26,1.959007417189255e-27,0
101,4.933,0.035,2,49330.0,5472.5116074283615,159.72605442797598,6.74194434994908e-26,1.967769549777878e-27,0
102,4.967,0.035,2,49670.0,6347.680266022183,181.47971821457176,7.713427929950252e-26,2.2052634482691e-27,0
